Name,URL
[former] IIRC,http://www.integratedreporting.org/wp-content/uploads/2022/07/VRF-ITP-GettingStartedGuide.pdf
[former] IIRC,http://www.integratedreporting.org/wp-content/uploads/2022/07/VRF-ITP-GettingStartedGuide.pdf
CDP,https://cdn.cdp.net/cdp-production/comfy/cms/files/files/000/007/937/original/CDP_Cyber_Essentials_Certificate_2022-23.pdf
Chile,https://www.chiletransparente.cl/wp-content/files_mf/1621960863InformeAEChileCreandovalorsostenible.pdf
EMAS,https://green-business.ec.europa.eu/system/files/2023-07/EMAS%20presentation%20for%20organisations_2022.pdf
EU Taxonomy,https://ec.europa.eu/info/sites/info/files/business_economy_euro/banking_and_finance/documents/200309-sustainable-finance-teg-final-report-taxonomy_en.pdf
EU Taxonomy,http://www.fao.org/3/I8661EN/i8661en.pdf
EU Taxonomy,http://www.fao.org/3/I8661EN/i8661en.pdf
EU Taxonomy,http://www.fao.org/3/I8661EN/i8661en.pdf
EU Taxonomy,http://www.fao.org/3/I8661EN/i8661en.pdf
EU Taxonomy,https://www.foresteurope.org/docs/MC/MC_helsinki_resolutionH1.pdf
EU Taxonomy,https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf
EU Taxonomy,https://www.foresteurope.org/docs/MC/MC_helsinki_resolutionH1.pdf
EU Taxonomy,https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf
EU Taxonomy,https://www.foresteurope.org/docs/MC/MC_helsinki_resolutionH1.pdf
EU Taxonomy,https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf
EU Taxonomy,https://www.ramsar.org/sites/default/files/documents/pdf/guide/guide-restoration.pdf
EU Taxonomy,https://www.ramsar.org/sites/default/files/documents/pdf/res/key_res_viii_14_e.pdf
EU Taxonomy,https://eippcb.jrc.ec.europa.eu/sites/default/files/2019-11/lvic_aaf.pdf
EU Taxonomy,http://www.fao.org/3/I8661EN/i8661en.pdf
EU Taxonomy,https://www.etsi.org/deliver/etsi_es/203100_203199/203199/01.03.00_50/es_203199v010300m.pdf
EU Taxonomy,https://ec.europa.eu/research/participants/data/ref/h2020/other/wp/2016-2017/annexes/h2020-wp1617-annex-ga_en.pdf
EU Taxonomy,http://www.fao.org/3/I8661EN/i8661en.pdf
EU Taxonomy,http://www.fao.org/3/I8661EN/i8661en.pdf
EU Taxonomy,http://www.fao.org/3/I8661EN/i8661en.pdf
EU Taxonomy,http://www.fao.org/3/I8661EN/i8661en.pdf
EU Taxonomy,https://www.foresteurope.org/docs/MC/MC_helsinki_resolutionH1.pdf
EU Taxonomy,https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf
EU Taxonomy,https://www.foresteurope.org/docs/MC/MC_helsinki_resolutionH1.pdf
EU Taxonomy,https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf
EU Taxonomy,https://www.foresteurope.org/docs/MC/MC_helsinki_resolutionH1.pdf
EU Taxonomy,https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf
EU Taxonomy,https://eippcb.jrc.ec.europa.eu/sites/default/files/2019-11/lvic-s_bref_0907.pdf
EU Taxonomy,https://eippcb.jrc.ec.europa.eu/sites/default/files/2019-11/lvic-s_bref_0907.pdf
EU Taxonomy,https://eippcb.jrc.ec.europa.eu/sites/default/files/2019-11/lvic_aaf.pdf
EU Taxonomy,https://eippcb.jrc.ec.europa.eu/sites/default/files/2019-11/pol_bref_0807.pdf
EU Taxonomy,https://www.icnirp.org/cms/upload/publications/ICNIRPemfgdl.pdf
EU Taxonomy,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/5_Volume5/19R_V5_6_Ch06_Wastewater.pdf
EU Taxonomy,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/5_Volume5/19R_V5_6_Ch06_Wastewater.pdf
EU Taxonomy,https://ec.europa.eu/research/participants/data/ref/h2020/other/wp/2016-2017/annexes/h2020-wp1617-annex-ga_en.pdf
GRI,https://www.globalreporting.org/media/wtaf14tw/a-short-introduction-to-the-gri-standards.pdf
Hong Kong,https://www.hkex.com.hk/-/media/HKEX-Market/News/Market-Consultations/2016-Present/April-2021-Review-of-CG-Code-and-LR/Consultation-Paper/cp202104.pdf
Hong Kong,https://assets.bbhub.io/company/sites/60/2020/10/FINAL-2017-TCFD-Report-11052018.pdf
ISSB,https://www.ifrs.org/content/dam/ifrs/about-us/legal-and-governance/constitution-docs/ifrs-foundation-constitution-2021.pdf
ISSB,https://www.ifrs.org/content/dam/ifrs/about-us/legal-and-governance/legal-docs/trade-mark-guidelines.pdf
Malaysia,https://www.bnm.gov.my/documents/20124/2294076/WWF_BCG_Net_Zero_Study.pdf
New Zealand,https://legislation.govt.nz/act/public/2021/0039/latest/096be8ed81b59fc7.pdf
PAS 2050 & 2060 (BSI),https://www.bsigroup.com/globalassets/localfiles/en-gb/about-bsi/social-responsibility/modern-slavery-statement-2023.pdf
PCAF,https://carbonaccountingfinancials.com/files/downloads/PCAF_OperatingModel_03.pdf
PCAF,https://www.parisalignedinvestment.org/media/2021/03/PAII-Net-Zero-Investment-Framework_Implementation-Guide.pdf
SBTi,https://sciencebasedtargets.org/resources/files/Commitment-Compliance-Policy.pdf
Singapore,https://api2.sgx.com/sites/default/files/2023-05/SGX%20Core%20ESG%20Metrics_for%20website%20%28updated%20Apr2023%29.pdf
TCFD,https://assets.bbhub.io/company/sites/60/2023/09/2023-Status-Report.pdf
TCFD,https://assets.bbhub.io/company/sites/60/2021/07/2021-Metrics_Targets_Guidance-1.pdf
TCFD,https://assets.bbhub.io/company/sites/60/2021/07/2021-TCFD-Implementing_Guidance.pdf
TCFD,https://assets.bbhub.io/company/sites/60/2021/10/FINAL-2017-TCFD-Report.pdf
Thailand,https://sseinitiative.org/wp-content/uploads/2019/11/Thailand_SET.pdf
Thailand,https://media.set.or.th/set/Documents/2023/Jun/SD_Highlight_2022_ENG.pdf
